Itr,NumTrajs,PolicyExecTime,StdReturn,AverageDiscountedReturn,Average greedy latency,EnvExecTime,Average latency,MaxReturn,Average reward,MinReturn,AverageReturn
92,10000,1.5059266090393066,1.7413484740821155,-6.264770738707794,830.1514519388198,0.9173691272735596,896.1959056230627,-2.472376862133566,-6.197912476229828,-12.478752948733772,-6.784604005220452
93,10000,1.5224428176879883,1.6645598701180724,-6.579941866038137,840.6303421667508,0.9046719074249268,1083.696114618146,-2.3199352976653023,-7.460887481554224,-13.206637702046484,-7.1232559416907035
94,10000,1.51167631149292,1.5549605812160658,-6.069680402132326,821.1102535662242,0.8895726203918457,931.6161108246749,-2.819303589467867,-6.404442590487978,-12.38994105047348,-6.577465109933411
95,10000,1.499687671661377,1.42697207173422,-6.0893205202395055,810.003501568045,0.8982651233673096,948.421499792633,-2.8635509954379628,-6.581024278598861,-11.923717481727964,-6.597245793197797
96,10000,1.4957067966461182,1.7238262382433298,-6.4555130238099325,841.0072106684004,0.8986992835998535,1018.5270314535687,-2.663687609890273,-7.07933236306982,-13.125555568396331,-6.986909987480742
97,10000,1.501906394958496,1.6966931799969602,-6.53939586851583,833.9326322315761,0.9162800312042236,1020.6916438653972,-2.4722681860113074,-7.134951747227689,-12.483443575950183,-7.081610461858868
98,10000,1.5007312297821045,1.7136754704766284,-6.299949068639186,818.4557502776963,0.9138550758361816,1051.034101482563,-2.4141332761111913,-7.407768251875931,-12.435868894588488,-6.8161188471867264
99,10000,1.5239059925079346,1.7015009926710085,-5.968458957747664,807.7344172752108,0.9159343242645264,850.2435980623981,-2.4336740898563884,-5.931549019969412,-12.43164927547638,-6.452874437971368
100,10000,1.5113308429718018,1.720618910929663,-6.195585104455261,813.0746388234274,0.9260818958282471,1002.0546179861151,-2.4809322590081027,-7.027182491281366,-12.19262478217881,-6.699779928097303
101,10000,1.5251965522766113,1.7374024408110842,-6.253830816855036,825.2870187314987,0.9264066219329834,1010.7314981008258,-2.472268186011307,-6.993217913102384,-12.16105806249299,-6.765635720687758
102,10000,1.5308082103729248,1.600145531957663,-6.421151641347124,818.8102651771137,0.9259519577026367,1048.4787213764546,-2.683509133998702,-7.23008201403673,-13.25155654231385,-6.944652085874173
103,10000,1.5043747425079346,1.6155906872056067,-6.279952968188107,814.3376666031156,0.9228427410125732,974.9000274728611,-2.6538168473161035,-6.834397169136611,-12.45436853255088,-6.796928782015542
104,10000,1.4754838943481445,1.619192608384919,-6.369105830504695,819.1682192292486,0.9262938499450684,854.71084334201,-2.376809713170003,-5.9301403201377045,-12.162400061728762,-6.900568668662733
105,10000,1.498417854309082,1.53093672216099,-5.736591463705918,809.8267261877469,0.8997349739074707,921.3698017814498,-2.3920598405731606,-6.394914419037004,-12.258269284642376,-6.212910584923655
106,10000,1.5084445476531982,1.7440138297303267,-6.565999974279215,841.4188389877456,0.9038314819335938,993.9151849469621,-2.3590911597988944,-6.971634577582156,-12.622091378351804,-7.104431830862281
107,10000,1.5213494300842285,1.5789851454787056,-6.401391087659524,824.7677893376487,0.9068734645843506,993.5439379845429,-2.5909890786926035,-6.906113750451166,-12.238918093148678,-6.929560324205712
108,10000,1.5061285495758057,1.6805165814861964,-6.410340909020107,826.1507554748943,0.9124934673309326,970.0850070783125,-2.3147712659090707,-6.6945829777405335,-12.878576145322043,-6.937432621036077
109,10000,1.5104401111602783,1.8836003798924723,-6.4485100203390004,839.8517432960374,0.9123265743255615,986.8258340123639,-2.3821224426866863,-6.8528738987707065,-12.286759510406139,-6.968426498707055
110,10000,1.5052552223205566,1.7418821214445723,-6.202798177300429,819.8962837934631,0.9178595542907715,1016.8191447325163,-2.387922698107803,-7.03666563128182,-12.36422343463057,-6.70873739875282
111,10000,1.4968585968017578,1.8164084147002004,-6.726757300012719,849.6778093708039,0.9179997444152832,1102.2120904528997,-2.387922698107803,-7.561830217251718,-12.66750220274675,-7.26878881716761
112,10000,1.526677131652832,1.6804680936133196,-5.983001294809003,812.4795301339149,0.9232516288757324,887.3330302033725,-2.278656121721367,-6.184194960073892,-12.01711365610353,-6.481436536176314
113,10000,1.5202436447143555,1.6179307509382705,-6.416547780915532,826.2030678259849,0.9154930114746094,1047.1620463578276,-2.5482685297856604,-7.324697846072003,-12.774867023665786,-6.9426267698405955
114,10000,1.5074570178985596,1.7547583241714633,-6.383097563773641,828.539913026401,0.9130520820617676,966.8331956831522,-2.4888475036067996,-6.79828976501764,-13.499479149015206,-6.9050140641961235
115,10000,1.5265567302703857,1.7997214669349846,-6.258992482007353,836.9400872224263,0.9088506698608398,1010.8078453886686,-2.5849320624922263,-6.959131524356297,-12.172912754464809,-6.777800103588222
116,10000,1.5151097774505615,1.6273981882181496,-6.0048842747129125,818.8295250243596,0.8986213207244873,945.159456579173,-2.378233902106183,-6.574093289658497,-12.959368715718925,-6.4988272286614786
117,10000,1.4917912483215332,1.4661842189507939,-6.224706410020695,819.4357387008939,0.9199538230895996,989.7912793606677,-3.077169426607581,-6.873249895158774,-11.968733062606095,-6.734444110014279
118,10000,1.5242300033569336,1.676406252699541,-6.0922811265865136,822.0265061690602,0.9081964492797852,933.916053915885,-2.4572260683623526,-6.513355591886828,-12.772853936160246,-6.584241786424638
119,10000,1.5056283473968506,1.6743004400616655,-6.22970567678401,822.8700790673937,0.9116654396057129,989.0333192696955,-2.363001279946767,-6.9502308685408805,-12.512218685695105,-6.742825180496664
120,10000,1.4827876091003418,1.7045250701111965,-5.973532088613868,816.9524018442563,0.9178886413574219,874.8136991137259,-2.2348632774236963,-6.0855861469904635,-12.513649601969524,-6.463794285816802
121,10000,1.515399694442749,1.7306942032980976,-6.20588362626318,819.1172710631915,0.9313051700592041,1038.6993817858424,-2.5112444476171354,-7.336380450810451,-12.266091520802787,-6.723433818109511
122,10000,1.523916244506836,1.6912151506122357,-6.514616852371484,826.9662567113058,0.9334571361541748,1063.0827057399586,-2.3590911597988944,-7.420835714617606,-13.105089860916049,-7.050065639025145
123,10000,1.490607500076294,1.7742562006441331,-6.606726673443435,834.0239289603505,0.9316813945770264,1137.2623781025204,-2.482200737128803,-7.900526069509766,-12.116711875070488,-7.144629619889389
124,10000,1.5155375003814697,1.6218660676018952,-5.933431211285952,804.6747855805261,0.9382827281951904,995.6017078615843,-2.4166946298014897,-6.996482002026821,-12.503642250921569,-6.433584028394598
125,10000,1.510524034500122,1.705392057200837,-6.132054230259154,819.2180186766079,0.9174525737762451,1006.8349449040167,-2.4151652996923665,-7.037471757569711,-12.091636321799035,-6.623689592309826
126,10000,1.5275523662567139,1.6584981183257725,-6.3137394679440275,834.3159091939516,0.9064335823059082,951.2834574615371,-2.2937728806696964,-6.628802323188256,-12.18108876912182,-6.819807142037762
127,10000,1.4902558326721191,1.5420938216596556,-5.9156693499873105,810.7800574243819,0.9122025966644287,857.1295678569876,-2.512661565308928,-5.9814738877069,-11.943936123493694,-6.417304196169147
128,10000,1.5134892463684082,1.4434578535278622,-5.734509279059939,805.382800163637,0.908519983291626,891.2479283945218,-2.644593983694479,-6.198863988040635,-12.664446512605876,-6.212570675868792
129,10000,1.4969637393951416,1.6104862724387465,-6.025488849389632,825.1627984027998,0.9044504165649414,940.5483493562291,-2.597408259928453,-6.432471330991921,-11.791778959768603,-6.513958363682944
